pdf,page,size,orientation,note
fake_01_mixed.pdf,1,A4,portrait,번역 인증서 표지 (테두리 꽉 참)
fake_01_mixed.pdf,2,A4,portrait,재학증명서 (글자 많음)
fake_01_mixed.pdf,3,A4,portrait,증명서 뒷장 (내용 위쪽만)
fake_01_mixed.pdf,4,A4,portrait,아포스티유 번역본 (위쪽 표만)
fake_01_mixed.pdf,5,small,portrait,A4 위 작은 아포스티유 (가운데)
fake_01_mixed.pdf,6,small,portrait,A5 페이지 아포스티유
fake_01_mixed.pdf,7,A4,portrait,번역 확인서 (글자 많음)
fake_02_landscape.pdf,1,A4,portrait,번역 인증서 표지
fake_02_landscape.pdf,2,A4,landscape,졸업장 번역본 (가로)
fake_02_landscape.pdf,3,A4,landscape,"졸업장 원본 (가로, 회색 배경 사진)"
fake_02_landscape.pdf,4,A4,portrait,성적증명서 원본 (회색 배경 사진)
fake_02_landscape.pdf,5,small,landscape,가로 A4 위 작은 확인서
fake_02_landscape.pdf,6,A4,portrait,성적증명서 번역본 (위쪽 절반)
fake_03_id_passport.pdf,1,small,portrait,A4 위 여권 정보면 (위쪽)
fake_03_id_passport.pdf,2,small,portrait,A4 위 신분증 앞·뒷면
fake_03_id_passport.pdf,3,small,portrait,"A4 위 여권 (비스듬히, 가운데)"
fake_03_id_passport.pdf,4,small,portrait,A4 위 신분증 (경계 그림자 없음)
fake_03_id_passport.pdf,5,A4,portrait,여권 번역본 (A4 서류)
fake_03_id_passport.pdf,6,small,portrait,"A4 위 여권 (경계 그림자 없음, 가운데)"
